date,headline
2012-04-11,"Kiplinger says Earthlink Attractive in Recent Article (ELNK, MSFT, YHOO)"
2012-04-13,Microsoft's Future Remains 'Cloudy'
2012-04-16,"Is Google About To Offer A Big Dividend? (MSFT, GOOG, INTC, SI, NTT)"
2012-04-19,Microsoft's Hopes Rest on Windows 8
2012-04-19,"Travelers, Verizon, Microsoft: Dow Midday Movers"
2012-04-19,"5 Stocks To Analyze Before Thursday (MSFT, MS, NYT, SNDK, VZ)"
2012-04-20,"NASDAQ 100 Round Up - Higher: MSFT, STX, NWSA"
2012-04-20,"VMware Priced For Near-Perfection, But Results Not Perfect (VMW, MSFT, CTXS, RHT)"
2012-04-20,Why Microsoft Is Heading to $40
2012-04-20,"Microsoft, AMD, Riverbed: Premarket Movers"
2012-04-20,"Stock Futures Higher After GE Earnings. Stocks to Watch: AAPL, BAC, CMG, GE, MCD, MSFT, RVBD, SNDK, SLB"
2012-04-21,"IBM, Microsoft, Yahoo! Results: Tech Weekly"
2012-04-23,"Facebook, Microsoft Forge $550M Patent Deal"
2012-04-23,"Microsoft, Facebook Tie Up Over AOL Patents"
2012-04-23,"The Zacks Analyst Blog Highlights: Advanced Micro Devices, Intel, Microsoft, Taiwan Semiconductor and American Electric Power - Press Releases"
2012-04-25,"Beware Of The Facebook IPO (AAPL, MSFT, GOOG, GRPN)"
2012-04-26,"Insiders Trading USAP, GWRE, BAS and MSFT"
2012-04-26,"What You Need to Know About Facebook Delaying Its IPO (GRPN, MSFT)"
2012-04-30,Barnes & Noble in Strategic Partnership With Microsoft: Hot Trends
2012-04-30,"Attractive Tech Dividend Stocks (ADI, LLTC, TSM, MSFT)"
2012-04-30,Barnes & Noble Soars On Microsoft eBook Deal
2012-04-30,Microsoft Invests In Nook
2012-04-30,Microsoft Nook Deal: Winners & Losers (Update 1)
2012-04-30,Microsoft to Invest $300M in New Barnes & Noble Unit
2012-04-30,Barnes & Noble Lands $300M Microsoft Investment
2012-04-30,"Weekly Top Insider Sells: MSFT, GOOG, ISRG, KMB, and LLTC"
2012-05-01,"Buy Intel, Microsoft as They Prepare Assault on Apple"
2012-05-02,"Top Funds Buy Alexion And Ross Stores, Drop Microsoft"
2012-05-07,"Weekly Top Insider Sells: MSFT, AAPL, GOOG, AXP and APH"
2012-05-07,"Microsoft, Motorola square off"
2012-05-11,"Seth Klarman Buys More Idenix Pharma, NovaGold, Theravance Inc, Sells Microsoft, BP, Genworth"
2012-05-11,"Microsoft Now No. 2 In Web Search, But Google Reigns"
2012-05-14,"Weekly Top Insider Buys: MSFT, BAC, AIG, SPG, OKS"
2012-05-14,"Ex-Dividend Stocks: Microsoft, Avon"
2012-05-16,"David Einhorn Buys Computer Science, Expedia Inc, DST Systems, Sells Microsoft Corp, General ..."
2012-05-18,"EPS Rising with High Dividend at American Software (AAPL, MSFT, AMSW)"
2012-05-29,WPP Plc. Partners With Microsoft - Analyst Blog
2012-05-30,"Attractive Tech Dividend Stocks (ADI, LLTC, TSM, MSFT)"
2012-06-13,Microsoft's Windows 8 Gamble Faces Vista Comparison
2012-06-14,"Amazon, Microsoft Waging A Cloud Pricing Battle"
2012-06-14,Microsoft buying Yammer?
2012-06-14,Investors Not Buying Into Microsoft's 'Social' Bid
2012-06-15,"Stock Futures Higher on Central Bank Action Hopes. Stocks to Watch: AIR, AAPL, MT, BAC, COF, FB, JBHT, MSFT"
2012-06-15,Microsoft Reportedly Buying Yammer For $1.2 Billion
2012-06-15,Microsoft Seen Likely To Launch Own Windows Tablet
2012-06-15,BroadVision Spikes On News Of Microsoft/Yammer Deal
2012-06-18,Why Is Microsoft's Announcement So Secret?
2012-06-18,Microsoft Unveils Tablet With Keyboard In Cover
2012-06-18,"Stocks to Watch: Microsoft, PetSmart (Update 1)"
2012-06-18,"Microsoft Announces Two New ""Surface"" Tablets"
2012-06-18,Microsoft's $1M Question: Is W8 Its Lifeline?
2012-06-18,"Groupon, Zynga, Microsoft: Tech Premarket"
2012-06-18,"Stock Futures Lower as Spain offsets Greek Vote. Stocks to Watch: AAPL, BAC, CLF, FB, MSFT, NBR, RAX, AUY"
2012-06-19,2 Companies Poised to Benefit From the Microsoft Surface
2012-06-19,Microsoft Hoping To Avoid Nokia's Fate With Surface
2012-06-19,Microsoft Enters Crowded Tablet Market - Analyst Blog
2012-06-19,"Microsoft Surface Tablets Take On iPad, Ultrabooks"
2012-06-19,"Microsoft, Oracle: Tech Winners & Losers"
2012-06-19,"Microsoft, FedEx Among Stocks Up on High Volume Tuesday"
2012-06-19,"Stock Futures Higher on Fed Hopes. Stocks to Watch: AAPL, ADSK, DFS, FB, FDX, JCP, MSFT, ORCL, WAG"
2012-06-19,"Stocks to Watch: Microsoft, Oracle, Walgreen (Update 1)"
2012-06-20,"BKS, BAMM, MSFT: Barnes & Noble is a Keep, Even Without Microsoft"
2012-06-21,"Will Microsoft Be Key To A Barnes & Noble Turnaround? (BKS, MSFT, AAPL, AMZN)"
2012-06-26,Microsoft Adds Social Network Yammer - Analyst Blog
2012-06-29,"Attractive Tech Dividend Stocks (ADI, LLTC, TSM, MSFT)"
2012-06-29,"Analyst sees Google Pursuing Digital Development Group (GOOG, MSFT, FB)"
2012-07-03,"Groupon, Microsoft: Tech Winners & Losers"
2012-07-03,"Groupon, Microsoft: Tech Winners & Losers (Update 1)"
2012-07-11,Poll: Will Microsoft Windows 8 Be a Winner?
2012-07-16,"Upcoming Technology Events You Should Know This Week (INTC, MSFT, TECD, CELL)"
2012-07-17,"Big Day In Tech... What It Means For Google, Microsoft and Yahoo"
2012-07-17,See in Charts What Happens When Companies Partner Up With the Nice People at Microsoft
2012-07-18,"Rumors Roil VMware (VMW, EMC, MSFT, CTXS)"
2012-07-18,"Buy Google, Microsoft and Verizon, Sell Chipotle"
2012-07-23,"While the Smart work at Apple and Microsoft, the Brilliant work for Cray (CRAY, MSFT, AAPL)"
2012-07-24,"Big Dividend Captures With Microsoft, Walgreens, Lilly, Target and Duke"
2012-07-30,"Retail Stocks Imitate Technology: lululemon is to Apple as Gap, Much to its Regret, is to Microsoft"
2012-07-31,"Puzzling Out the Value of Wal-Mart on a Resume: Supervalu and Starbucks a Bust, Microsoft Next?"
2012-07-31,Who Spends More on Ads -- Apple or Microsoft? Another Lesson in Quality vs Quantity
2012-08-14,"Why Ford, Microsoft, Pandora Should Hate AT&T"
2012-08-15,"Long Positions from a Short Seller - Jim Chanos Top Buys: WFM, CBI, ORCL, MSFT, DE"
2012-08-16,"High Scores for Customer Satisfaction But What About Stock Performance? BLMN, JBLU, MSFT, SO, NI & UPS"
2012-08-22,Allscripts and Microsoft to Engage - Analyst Blog
2012-08-22,"Is Apple Really the Largest Company Ever? (AAPL, MSFT, XOM, PTR)"
2012-08-27,"TradersHuddle Dow's Update, In focus:MSFT, BA, WMT, AA, TRV"
2012-08-27,Infoblox Takes On Microsoft In IP Addresses
2012-08-27,"Futures Little Changed as Issac Moves into the Gulf. Stocks to Watch: AAPL, FB, GOOG, MSFT, NOK, SDRL, TIF, VLO"
2012-08-29,"AOL Shows Shareholders The Money (AOL, MSFT, FB)"
2012-08-30,"Bull Vs. Bear - Apple's New Products Will Bring It To $1,000 Per Share (AAPL, CHL, MSFT, TWC)"
2012-08-30,"Vivendi Needs Cooperation To Turn Around (VIVHY, ATVI, MSFT, AMX)"
2012-09-19,Cramer's 6 Stocks in 60 Seconds: SHW GLW WM MSFT HAS DIS
2012-09-19,"Stock Futures Higher on BOJ Easing. Stocks to Watch: AAPL, AZO, BBBY, BP, CTRP, GIS, MSFT, NFX"
2012-09-19,"Can Samsung save Radio Shack (RSH, NOK, MSFT, SSNLF)"
2012-09-25,"Citrix May Be A Relative Bargain, But There's A Lot Left To Prove (CTXS, VMW, MSFT, CSCO)"
2012-09-26,"Microsoft, NetApp Among Stocks Falling Below 50-Day"
2012-09-26,"Futures Higher, as Wall Street Shrugs Spanish Jitters. Stocks to Watch: AAPL, BP, JBL, MSFT, MON, SNX, TOL, TM"
2012-09-27,"Futures Higher on Spanish Budget and China Easing Hopes. Stocks to Watch: AAPL, MKC, MSFT, NKE, NOK, THO, X, WOR"
2012-10-01,Baidu Falls On Qihoo Threat; Google Tops Microsoft
2012-10-03,"Technology Stocks Aren't Just For Growth Anymore (AAPL, MSFT, CSCO, TDIV)"
2012-10-03,Cramer's 6 Stocks in 60 Seconds: NFLX YHOO NOV MSFT GILD PCLN
2012-10-09,"Microsoft, Boingo, Bring Wi-fi Love to New York"
2012-10-10,"The Biggest Turnaround Story in 'Search' Isn't One You'd Expect (YHOO, FB, GOOG, AOL, MSFT)"
2012-10-12,Analysts' Actions: AMD GE LOW WMT COF MSFT
2012-10-12,"Microsoft, Intel, AMD Among Big Tech Earnings Next Week"
2012-10-16,Here's How Much the Microsoft Surface Will Cost (Update 1)
2012-10-16,Here's How Much the Microsoft Surface Will Cost
2012-10-16,Microsoft Surface Pricing: An Impossible Task
2012-10-16,Microsoft Surface Tablets Match Apple iPad On Price
2012-10-17,Microsoft to Acquire StorSimple - Analyst Blog
2012-10-18,"Futures Mixed amid Earnings and Chinese Data. Stocks to Watch: AXP, AAPL, DHR, DO, EBAY, GOOG, MSFT, MS, VZ"
2012-10-18,"Stocks to Watch: Google, Verizon, Microsoft (Update 1)"
2012-10-18,"Microsoft, Chipotle: After-Hours Trading"
2012-10-19,Microsoft Surface RT Tablet Sells Out
2012-10-19,"Microsoft, Google, AMD, Riverbed: Tech Premarket"
2012-10-19,"Futures Lower amid Weak Earnings. Stocks to Watch: AAPL, CMG, GE, GOOG, MRVL, MCD, MSFT, RVBD, SNDK, SLB"
2012-10-25,"Do Weak Bookings Prove Anything About VMware? (VMW, MSFT, CTXS, CA)"
2012-10-25,Microsoft Risks Alienating Consumers With Windows 8
2012-10-25,"Insiders Trading APD, MSFT, MCEP"
2012-10-29,"Weekly Top Insider Sells: DHR, MSFT, GOOG, and AMGN"
2012-10-29,Microsoft Trying To Get Apple iPhone Users To Switch
2012-10-31,Will Apple or Microsoft Be Under More Pressure?
2012-11-05,"Can Atmel Touch Bottom? (ATML, CY, BRCM, MSFT)"
2012-11-05,"Weekly Top Insider Sells: MSFT, GOOG, FB, MYL, and NEE"
2012-11-06,Microsoft Video Game Could Decide The Election
2012-11-07,"Patent Trial Roundup: There's More Than Just Vringo and Google (VHC, MSFT, AAPL, GOOG, VRNG)"
2012-11-12,"Jive Software Bulks Up Vs. Salesforce.com, Microsoft"
2012-11-13,"Seth Klarman Buys Rovi Corp, Novagold, Idenix Pharmaceuticals, Sells Hewlett-packard, Microsoft ..."
2012-11-13,"Stocks to Watch: Microsoft, Home Depot, Cisco"
2012-11-14,"David Einhorn Trims Apple, Microsoft, Adds GM and Yahoo!"
2012-11-15,HP Shrugs Off Microsoft Surface: Report
2012-11-19,Microsoft Inks Deal with Telefonica - Analyst Blog
2012-11-26,Apple iPad Sales Brisk; Microsoft Surface Sales Slow
2012-11-27,QSII and Microsoft Team Up - Analyst Blog
2012-12-05,Analysts' Actions: ADTN CMI COG DRI MSFT
2012-12-11,Microsoft
2012-12-14,Analysts' Actions: ADBE CLWR MSFT MU
2012-12-21,"The Worst CEO List and Stock Performance (MSFT, JCP, GRPN, ZNGA & EKDKQ)"
2012-12-28,Tech Data Offers Microsoft Products - Analyst Blog
2012-12-30,"Guru Stocks at 52-Week Lows: MSFT, VOD, AMX, NTT, TEVA"
2013-01-03,Microsoft Buys Home Automation Software Firm: Report
2013-01-04,What Happened To Microsoft's Surface Pro Tablets?
2013-01-07,"Guru Stocks at 52-Week Lows: MSFT, VOD, NTT, TEVA, FE"
2013-01-10,Analysts' Actions: AIG MSFT SIRI MO LVS
2013-01-10,"Apple, RIM, Microsoft: Tech Premarket"
2013-01-13,"Guru Stocks at 52-Week Lows: MSFT, NTT, TEVA, EXC, SE"
2013-01-21,"Steven Romick Adds to Microsoft, AIG and Interpublic Group"
2013-01-21,"Guru Stocks at 52-Week Lows: MSFT, VOD, NTT, TEVA, SE"
2013-01-22,Stocks Stay Mixed; Microsoft Falls On Report Of Dell Talks
2013-01-24,"Apple, Mellanox, Netflix, Microsoft: Tech Premarket"
2013-01-24,"Apple Joins Microsoft, Cisco In Slow-Growth Club"
2013-01-25,"RIM, Juniper, eBay, Microsoft: Tech Premarket"
2013-01-31,"NetSuite Says Gaining Share From Microsoft, SAP"
2013-02-01,"VMware Stumbles, And The Street Spares No Mercy (VMW, EMC, MSFT, CTXS)"
2013-02-09,"Disney Has A Stable Of Horses To Ride (DIS, CMCSA, SIX, MSFT)"
2013-02-11,"A Step Back For Atmel, But The Potential Is Interesting (ATML, SYNA, BRCM, MSFT)"
2013-02-11,Microsoft can't figure out the target market for Surface Pro
2013-03-19,Report: DoJ Probes Microsoft Over Foreign Bribery
2013-03-19,Polycom Strengthens Ties with MSFT - Analyst Blog
2013-04-02,Red Hat Hires Microsoft Executive For Virtualization
2013-04-10,"Microsoft, NBC Sports Collaborate - Analyst Blog"
2013-04-10,More Customers for Microsoft Cloud - Analyst Blog
2013-04-11,Ericsson to Acquire Microsoft TV Biz - Analyst Blog
2013-04-11,ABB Selects Microsoft Office 365 - Analyst Blog
2013-04-12,Microsoft Counting on Tablets to Combat PC Sales Decline
2013-04-18,Microsoft Cuts Prices to Match AWS - Analyst Blog
2013-04-22,"Stocks Slump In Soft Trade; Microsoft, Hasbro Steam Higher"
2013-05-02,"Donald Yacktman Buys Microsoft, Coca-Cola Co, CH Robinson, Sells H&R Block, Research in Motion"
2013-05-07,Microsoft tries to make Windows 8 look successful
2013-05-09,Is Microsoft Hitting Up Barnes & Noble For Some Nook(ie)?
2013-05-09,Microsoft Eyeing Barnes & Noble's Digital Nook Assets?
2013-05-09,Microsoft's Nook Media buy would give it e-book heft
2013-05-21,MSFT Expands Cloud Services in Australia - Analyst Blog
2013-05-29,MSFT Expands Cloud Services in Japan - Analyst Blog
2013-06-04,Microsoft to Buy InCycle Unit - Analyst Blog
2013-06-07,"Break up Microsoft to unlock value, spur innovation"
2013-06-07,Microsoft
2013-06-10,"Technology Stock Roundup: MSFT Advances, INTC Softens - Analyst Blog"
2013-06-10,GameStop Gains on Microsoft's Move - Analyst Blog
2013-06-13,Microsoft Expands MTC in Canada - Analyst Blog
2013-06-19,MICROSOFT
2013-06-20,"Microsoft, Nvidia bow to video gamer demands"
2013-06-24,"Oracle, Microsoft Launch Cloud Software Partnership"
2013-06-25,Oracle Microsoft Cloud Partnership Gets Good Reviews
2013-07-09,Death knell sounding for Microsoft's Windows RT
2013-07-12,Microsoft Reorganizes Business - Analyst Blog
2013-07-12,PLCM's Video Support to Microsoft - Analyst Blog
2013-07-15,Microsoft holds fire sale on Windows RT Surface tablets
2013-07-16,Will Microsoft (MSFT) Beat Earnings Estimates This Quarter? - Analyst Blog
2013-07-18,Microsoft Misses Earnings and Revenue - Analyst Blog
2013-07-19,"Earnings Drag On Stock Futures; Microsoft, Google Slide"
2013-07-20,Microsoft Surface business model is the punchline to a joke
2013-07-31,Microsoft reveals true size of its Surface tablet flop
2013-08-05,Microsoft cuts Surface Pro prices; Could signal more losses
2013-08-06,Microsoft cuts Surface Pro prices; Could signal more losses
2013-08-07,Microsoft adds MakerBot 3D printers to more stores
2013-08-13,Microsoft's bet on touch-screen PCs looks like boneheaded move
2013-08-21,Microsoft CEO Steve Ballmer needs to make a graceful exit
2013-08-23,"Stocks Mixed On Home Sales Data; Microsoft Gaps Up, Lifts Nasdaq"
2013-08-23,Microsoft Enters Transition With CEO Ballmer's Exit
2013-08-26,"Technology Stock Roundup: FB, MSFT Rouse the Bulls - Analyst Blog"
2013-08-26,Microsoft CEO Ballmer to Retire - Analyst Blog
2013-09-03,Stock Futures Point North; Nokia Spikes On Microsoft Deal
2013-09-04,"Smartphone Market Brightens, Lifting Apple, Microsoft"
2013-09-09,Technology Stock Roundup: MSFT Plunges Again - Analyst Blog
2013-09-09,Microsoft hopes for fresh start with Surface 2 tablets
2013-09-10,"Report: Microsoft Investors Campaigning for Mulally, Lawrie"
2013-09-11,Pandora Hires Ex-Microsoft SVP as CEO
2013-09-12,"Tableau Aims To Replace Oracle, SAP, IBM, Microsoft"
2013-09-16,Technology Stock Roundup: Of AAPL iPhones and MSFT Music - Analyst Blog
2013-09-17,"Stocks Climb In Mixed Trade; Microsoft, Apple Move Higher"
2013-09-18,3 ETFs to Watch on Microsoft Dividend Hike - ETF News And Commentary
2013-09-18,"Microsoft Ups Buyback, Hikes Dividend - Analyst Blog"
2013-09-24,Microsoft's Surface Clan Widens - Analyst Blog
2013-09-26,Dell bails on Windows RT tablets; Microsoft lone supporter
2013-09-30,"Sony PS4 could trounce Microsoft Xbox One in sales, poll shows"
2013-10-09,"Equinix, Microsoft Ink Deal - Analyst Blog"
2013-10-17,Microsoft Unveils Windows 8.1 - Analyst Blog
